index,sourceid,pagenumber,pos_on_page,exact_url,hash_url,opinion_section
1,1,1,1,http://www.hindustantimes.com/india/gas-pricing-ambani-moily-named-in-aap-govt-fir/story-UH4wKiCIBv2UxqqnFd9YeP.html,0455d1431714470adb088ebfb40ee37c,No
2,1,1,2,http://www.hindustantimes.com/business/oil-ministry-puts-ril-s-odisha-gas-block-plans-on-hold/story-SeCZJBMEMeg5PdCm418LsO.html,8f86632d4fdec58915a0a00b12a4a70f,No
3,1,1,3,http://www.hindustantimes.com/india/centre-fires-up-growth-deregulates-diesel-price/story-m8GMOCo4qUetXWdq3hDljI.html,17a8918833b8e5ed8f486175d67b28a0,No
4,1,1,4,http://www.hindustantimes.com/business/govt-wooing-global-oil-giants-to-invest-in-india/story-Ez6eDg2WCsKcPBwKIfco5I.html,c00fc98f0d2e432f4f1a6eec5b1f80d1,No
5,1,1,5,http://www.hindustantimes.com/delhi/centre-clips-wings-of-delhi-anti-corruption-body/story-mSNyAvRTGns62f2cwZtiMJ.html,f70c8a2a37f71e0cb29eaa89ae4b8111,No
6,1,1,6,http://www.hindustantimes.com/business/govt-asks-ongc-oil-to-explain-decline-in-oil-and-gas-production/story-YFQPF3W6pyTGh88PVCTpxM.html,d10fd05cfa6f171d33849e275eee2011,No
7,1,1,7,http://www.hindustantimes.com/business/govt-to-go-ahead-with-rs-18-000-cr-ongc-stake-sale-in-reforms-push/story-4jDFZ31JD9cqc1JOiVWEbK.html,29a258f8fd89bd51e7207d8626d8cbc1,No
8,1,1,8,http://www.hindustantimes.com/india/small-5-kg-lpg-refills-soon-oil-minister-pradhan/story-Y3N1d8rAuAPcuUqLnQZhAL.html,141bfc0a257e671165b432c6243768ff,No
9,1,1,9,http://www.hindustantimes.com/business/mukesh-ambani-to-invest-rs-24-000-cr-more-in-us/story-w52ArW7HZCtjwVy9szpwbP.html,79a99bcb4bc25bdc876db634c20ddadf,No
10,1,1,10,http://www.hindustantimes.com/business/brothers-ambani-seal-rs-12-000-cr-deal/story-UrWYzIPoxRskZkQYj2SPyL.html,c83e94dafc734bf1a6397b8f58493cf8,No
11,1,2,1,http://www.hindustantimes.com/india/jung-s-past-stints-with-energy-giant-a-sore-point/story-cFB0psd4IXAWAOj4o5mkzO.html,4403ea3e112158b0f1e4f4d99041e222,No
