sourceid,sourcename,typeofsource,sourcehomepage,sourcefolder
1,The Hindustan Times,National Regular Daily,hindustantimes.com,reliance_natural_gas/hindustan_times/
2,The Hindu,National Regular Daily,thehindu.com,reliance_natural_gas/the_hindu/
3,The Economic Times,National Financial Daily,economictimes.indiatimes.com,reliance_natural_gas/the_economic_times/
4,The Times of India,National Regular Daily,timesofindia.indiatimes.com,reliance_natural_gas/times_of_india/
5,The Indian Express,National Regular Daily,indianexpress.com,reliance_natural_gas/the_indian_express/
6,DNA,National Regular Daily,dnaindia.com,reliance_natural_gas/dna/
7,Business Standard,National Financial Daily,business-standard.com,reliance_natural_gas/business_standard/
8,Deccan Chronicle,Regional Regular Daily,deccanchronicle.com,reliance_natural_gas/deccan_chronicle/
9,Telegraph,Regional Regular Daily,telegraphindia.com,reliance_natural_gas/telegraph/
10,Daily Pioneer,Regional Regular Daily,dailypioneer.com,reliance_natural_gas/pioneer/
11,New Indian Express,Regional Regular Daily,newindianexpress.com,reliance_natural_gas/new_indian_express/
12,Tribune,Regional Regular Daily,tribuneindia.com,reliance_natural_gas/tribuneindia/
13,Live Mint,Online Regular,livemint.com,reliance_natural_gas/livemint/
14,First Post,Online Regular,firspost.com,reliance_natural_gas/firstpost/
15,NDTV,News Channel,ndtv.com,reliance_natural_gas/ndtv/
16,Zee News,News Channel,zeenews.com,reliance_natural_gas/zeenews/
17,Money Control,Online Financial,moneycontrol.com,reliance_natural_gas/moneycontrol/
18,IBN Live,News Channel,ibnlive.com,reliance_natural_gas/ibnlive/
